Store Number,Store Type,Region,Year,Display Name,Address,City,State,Zip Code,Country,Latitude,Longitude
5404,2,Chicago,2005,Walmart,103 W Holbrook Rd,Glenwood,IL,60425,US,41.53887176,-87.62863159
5442,1,Chicago,2005,Walmart Supercenter,1050 N Rohlwing Rd,Addison,IL,60101,US,41.948326,-88.03262999
5485,1,Chicago,2006,Walmart Supercenter,2500 W 95Th St,Evergreen Park,IL,60805,US,41.72200699,-87.686187
5486,1,Chicago,2006,Walmart Supercenter,4005 167Th St,Country Club Hills,IL,60478,US,41.5861608,-87.71432675
5617,2,Chicago,2013,Walmart,4626 W Diversey Ave,Chicago,IL,60639,US,41.93163804,-87.74258449
5645,4,Chicago,2013,Walmart Neighborhood Market,2844 N Broadway St,Chicago,IL,60657,US,41.93407081,-87.64445655
5646,4,Chicago,2013,Walmart Neighborhood Market,2551 W Cermak Rd,Chicago,IL,60608,US,41.85193955,-87.68936477
5647,4,Chicago,2011,Walmart Neighborhood Market,570 W Monroe St,Chicago,IL,60661,US,41.88061036,-87.64176763
5781,1,Chicago,2012,Walmart Supercenter,8331 S Stewart Ave,Chicago,IL,60620,US,41.74245782,-87.63402275
5965,2,Chicago,2013,Walmart,10900 S. Doty Avenue,Chicago,IL,60628,US,41.69343441,-87.59872019
6167,4,Chicago,2014,Walmart Neighborhood Market,727 W. Golf Road,Des Plaines,IL,60016,US,42.053524,-87.906097
471,1,Dallas,?,Walmart Supercenter,150 N Interstate 35 E,Lancaster,TX,75146,US,32.59201,-96.819961
789,1,Dallas,1985,Walmart Supercenter,200 Us Highway 80 E,Mesquite,TX,75149,US,32.78921799,-96.59905999
880,1,Dallas,1986,Walmart Supercenter,4100 W Airport Fwy,Irving,TX,75062,US,32.835174,-97.00649199
1118,1,Dallas,1987,Walmart Supercenter,12300 Lake June Rd,Balch Springs,TX,75180,US,32.732337,-96.615211
1800,1,Dallas,2014,Walmart Supercenter,1801 Marketplace Dr,Garland,TX,75041,US,32.862175,-96.652077
2105,2,Dallas,1994,Walmart,13307 Midway Rd,Farmers Branch,TX,75244,US,32.926853,-96.84083599
2433,4,Dallas,?,Walmart Neighborhood Market,101 W Buckingham Rd,Garland,TX,75040,US,32.931201,-96.63028699
2649,1,Dallas,2000,Walmart Supercenter,1635 Market Place Blvd.,Irving,TX,75063,US,32.91924074,-96.96796126
2667,1,Dallas,1998,Walmart Supercenter,7401 Samuell Blvd,Dallas,TX,75228,US,32.79252044,-96.68872587
2974,4,Dallas,?,Walmart Neighborhood Market,1501 Buckingham Rd,Richardson,TX,75081,US,32.93228899,-96.69734099
2975,4,Dallas,?,Walmart Neighborhood Market,3959 Broadway Blvd,Garland,TX,75043,US,32.86500499,-96.606819
2976,4,Dallas,?,Walmart Neighborhood Market,915 N Town East Blvd,Mesquite,TX,75150,US,32.812904,-96.60965699
3015,4,Dallas,2013,Walmart Neighborhood Market,2827 S. Buckner Blvd,Dallas,TX,75227,US,32.75956682,-96.68291956
3171,4,Dallas,2012,Walmart Neighborhood Market,2218 Greenville Ave,Dallas,TX,75206,US,32.816456,-96.769608
3224,1,Dallas,2001,Walmart Supercenter,555 W Interstate 30,Garland,TX,75043,US,32.84191799,-96.59757199
3341,4,Dallas,?,Walmart Neighborhood Market,2305 N Central Expy,Dallas,TX,75204,US,32.80102036,-96.79351575
3406,1,Dallas,?,Walmart Supercenter,15220 Montfort Rd,Dallas,TX,75248,US,32.959049,-96.816619
3432,1,Dallas,?,Walmart Supercenter,951 W Belt Line Rd,Desoto,TX,75115,US,32.592381,-96.87960099
4046,4,Dallas,2014,Walmart Neighborhood Market,1855 S Garland Ave,Garland,TX,75040,US,32.89607517,-96.64888165
5021,4,Dallas,?,Walmart Neighborhood Market,2275 Gus Thomasson Rd,Dallas,TX,75228,US,32.83491477,-96.67552605
5042,4,Dallas,?,Walmart Neighborhood Market,12789 Midway Rd,Dallas,TX,75244,US,32.92225599,-96.83898899
